service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
fc73eb8fc73e9,1,1,1,1,1,1,1,20250101,20251231
fc73eb8fc73ea,1,1,1,1,1,1,1,20250101,20251231
3486182348616,1,1,1,1,1,1,1,20250101,20251231
3486182348617,1,1,1,1,1,1,1,20250101,20251231
602df47602df2,1,1,1,1,1,1,0,20250101,20251231
602df47602df3,1,1,1,1,1,1,0,20250101,20251231
91fe67291fe65,1,1,1,1,1,1,1,20250101,20251231
91fe67291fe66,1,1,1,1,1,1,1,20250101,20251231
1c56a531c56a3,1,1,1,1,1,1,1,20250101,20251231
1c56a531c56a4,1,1,1,1,1,1,1,20250101,20251231
8fceb338fceb1,1,1,1,1,1,1,1,20250101,20251231
8fceb338fceb2,1,1,1,1,1,1,1,20250101,20251231
8fcef338fcef1,1,1,1,1,1,1,0,20250101,20251231
8fcef338fcef2,1,1,1,1,1,1,0,20250101,20251231
97fed5497fed3,1,1,1,1,1,1,0,20250101,20251231
97fed5497fed4,1,1,1,1,1,1,0,20250101,20251231
528133c528131,1,1,1,1,1,1,1,20250101,20251231
528133c528132,1,1,1,1,1,1,1,20250101,20251231
e4f481ce4f47f,1,1,1,1,1,1,1,20250101,20251231
e4f481ce4f480,1,1,1,1,1,1,1,20250101,20251231
5281f0c5281ee,1,1,1,1,1,1,1,20250101,20251231
5281f0c5281ef,1,1,1,1,1,1,1,20250101,20251231
7748caf7748c8,1,1,1,1,1,1,1,20250101,20251231
7748caf7748c9,1,1,1,1,1,1,1,20250101,20251231
69695d469695b,1,1,1,1,1,1,1,20250101,20251231
69695d469695c,1,1,1,1,1,1,1,20250101,20251231
8b394bf8b3949,1,1,1,1,1,1,0,20250101,20251231
8b394bf8b394a,1,1,1,1,1,1,0,20250101,20251231
7749a2f7749a0,1,1,1,1,1,1,1,20250101,20251231
7749a2f7749a1,1,1,1,1,1,1,1,20250101,20251231
8b39b6f8b39b4,1,1,1,1,1,1,1,20250101,20251231
8b39b6f8b39b5,1,1,1,1,1,1,1,20250101,20251231
95625f995625d,1,1,1,1,1,1,1,20250101,20251231
95625f995625e,1,1,1,1,1,1,1,20250101,20251231
4899e814899e6,0,0,0,0,0,1,1,20250101,20251231
4899e814899e7,1,1,1,1,1,1,1,20250101,20251231
7fc7f917fc7f7,1,1,1,1,1,0,0,20250101,20251231
7fc7f917fc7f8,1,1,1,1,1,0,0,20250101,20251231
489cb71489cb5,1,1,1,1,1,1,1,20250101,20251231
489cb71489cb6,1,1,1,1,1,1,1,20250101,20251231
d548babd548b8,1,1,1,1,1,1,1,20250101,20251231
d548babd548b9,1,1,1,1,1,1,1,20250101,20251231
dbb781bdbb77f,1,1,1,1,1,1,1,20250101,20251231
dbb781bdbb780,1,1,1,1,1,1,1,20250101,20251231
d54955bd54953,1,1,1,1,1,1,1,20250101,20251231
d54955bd54954,1,1,1,1,1,1,1,20250101,20251231
2cc9a462cc9a2,1,1,1,1,1,1,1,20250101,20251231
2cc9a462cc9a3,1,1,1,1,1,1,1,20250101,20251231
2cc9de62cc9dc,1,1,1,1,1,1,1,20250101,20251231
2cc9de62cc9dd,1,1,1,1,1,1,1,20250101,20251231
cb817a6cb8178,1,1,1,1,1,1,1,20250101,20251231
cb817a6cb8179,1,1,1,1,1,1,1,20250101,20251231
d5da153d5da13,1,1,1,1,1,1,0,20250101,20251231
d5da153d5da14,1,1,1,1,1,0,0,20250101,20251231
e9df9abe9df98,1,1,1,1,1,1,0,20250101,20251231
e9df9abe9df99,1,1,1,1,1,1,0,20250101,20251231
f243f37f243f1,0,0,0,0,0,0,1,20250101,20251231
f243f37f243f2,0,0,0,0,0,0,1,20250101,20251231
014104b014102,0,0,0,0,0,0,1,20250101,20251231
014104b014103,0,0,0,0,0,0,1,20250101,20251231
e3ee7a3e3ee78,1,1,1,1,1,1,1,20250101,20251231
e3ee7a3e3ee79,1,1,1,1,1,1,1,20250101,20251231
79572d479572b,1,1,1,1,1,1,1,20250101,20251231
79572d479572c,1,1,1,1,1,1,1,20250101,20251231
4eef0594eef03,1,1,1,1,1,1,1,20250101,20251231
4eef0594eef04,1,1,1,1,1,1,1,20250101,20251231
fc24422fc2440,1,1,1,1,1,0,0,20250101,20251231
fc24422fc2441,1,1,1,1,1,0,0,20250101,20251231
30d3f0f30d3ee,1,1,1,1,1,1,1,20250101,20251231
30d3f0f30d3ef,1,1,1,1,1,1,1,20250101,20251231
646aeee646aec,1,1,1,1,1,1,1,20250101,20251231
646aeee646aed,1,1,1,1,1,1,1,20250101,20251231
2db845a2db843,1,1,1,1,1,1,0,20250101,20251231
2db845a2db844,1,1,1,1,1,1,0,20250101,20251231
ffbff77ffbff5,1,1,1,1,1,0,0,20250101,20251231
ffbff77ffbff6,1,1,1,1,1,0,0,20250101,20251231

